,,,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
Global Arts Studies Program 109,A,% of Total Number of Records along Grade Code Final,,19%,,,,,,,,,,,,,,,,,,
,,Number of Records,,17,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,32%,,,,,,,,,,,,,,,,,
,,Number of Records,,,29,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,1%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
,,Number of Records,,,,,12,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
,,Number of Records,,,,,,7,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,16%,,,,,,,,,,,,,,,,
,,Number of Records,,,,14,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,1%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,3%,,,,,,,,,,,,,
,,Number of Records,,,,,,,3,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,7%,,,,,,,
,,Number of Records,,,,,,,,,,,,,6,,,,,,,
Global Arts Studies Program 110,A,% of Total Number of Records along Grade Code Final,,31%,,,,,,,,,,,,,,,,,,
,,Number of Records,,39,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,26%,,,,,,,,,,,,,,,,,
,,Number of Records,,,32,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,17%,,,,,,,,,,,,,,,
,,Number of Records,,,,,21,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
,,Number of Records,,,,,,9,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,5%,,,,,,,,,,,,,,,,
,,Number of Records,,,,6,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,6%,,,,,,,,,,,,
,,Number of Records,,,,,,,,8,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,1%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,1,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,3%,,,,,,
,,Number of Records,,,,,,,,,,,,,,4,,,,,,
Global Arts Studies Program 111,A,% of Total Number of Records along Grade Code Final,,20%,,,,,,,,,,,,,,,,,,
,,Number of Records,,4,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,35%,,,,,,,,,,,,,,,,,
,,Number of Records,,,7,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,25%,,,,,,,,,,,,,,,
,,Number of Records,,,,,5,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,5%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,15%,,,,,,,,,,,,,,,,
,,Number of Records,,,,3,,,,,,,,,,,,,,,,
Global Arts Studies Program 111A,A,% of Total Number of Records along Grade Code Final,,28%,,,,,,,,,,,,,,,,,,
,,Number of Records,,5,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,6%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,28%,,,,,,,,,,,,,,,,,,,
,,Number of Records,5,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,17%,,,,,,,,,,,,,,,
,,Number of Records,,,,,3,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,6%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,6%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,6%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,6%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
Global Arts Studies Program 112A,A,% of Total Number of Records along Grade Code Final,,6%,,,,,,,,,,,,,,,,,,
,,Number of Records,,1,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,31%,,,,,,,,,,,,,,,,,
,,Number of Records,,,5,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,31%,,,,,,,,,,,,,,,,,,,
,,Number of Records,5,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,6%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,13%,,,,,,,,,,,,,,
,,Number of Records,,,,,,2,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,13%,,,,,,,,,,,,,,,,
,,Number of Records,,,,2,,,,,,,,,,,,,,,,
Global Arts Studies Program 114,A,% of Total Number of Records along Grade Code Final,,17%,,,,,,,,,,,,,,,,,,
,,Number of Records,,1,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,33%,,,,,,,,,,,,,,,,,
,,Number of Records,,,2,,,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,33%,,,,,,,,,,,,,,
,,Number of Records,,,,,,2,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,17%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
Global Arts Studies Program 115A,A,% of Total Number of Records along Grade Code Final,,24%,,,,,,,,,,,,,,,,,,
,,Number of Records,,5,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,14%,,,,,,,,,,,,,,,,,
,,Number of Records,,,3,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,19%,,,,,,,,,,,,,,,,,,,
,,Number of Records,4,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,24%,,,,,,,,,,,,,,,
,,Number of Records,,,,,5,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,5%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,5%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,10%,,,,,,,,,,,,,
,,Number of Records,,,,,,,2,,,,,,,,,,,,,
Global Arts Studies Program 119,A,% of Total Number of Records along Grade Code Final,,41%,,,,,,,,,,,,,,,,,,
,,Number of Records,,28,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,15%,,,,,,,,,,,,,,,,,
,,Number of Records,,,10,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,15%,,,,,,,,,,,,,,,,,,,
,,Number of Records,10,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,18%,,,,,,,,,,,,,,,
,,Number of Records,,,,,12,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,1%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,4%,,,,,,,,,,,,,,,,
,,Number of Records,,,,3,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,4%,,,,,,,,,,,,
,,Number of Records,,,,,,,,3,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
Global Arts Studies Program 120,A,% of Total Number of Records along Grade Code Final,,17%,,,,,,,,,,,,,,,,,,
,,Number of Records,,19,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,23%,,,,,,,,,,,,,,,,,
,,Number of Records,,,26,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,1%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,17%,,,,,,,,,,,,,,,
,,Number of Records,,,,,19,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,12%,,,,,,,,,,,,,,
,,Number of Records,,,,,,13,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,12%,,,,,,,,,,,,,,,,
,,Number of Records,,,,14,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,5%,,,,,,,,,,,,
,,Number of Records,,,,,,,,6,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,3%,,,,,,,,,,,,,
,,Number of Records,,,,,,,3,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
,,Number of Records,,,,,,,,,,,,,4,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,2%,,
,,Number of Records,,,,,,,,,,,,,,,,,,2,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,4%,,,,,,
,,Number of Records,,,,,,,,,,,,,,4,,,,,,
Global Arts Studies Program 122,A,% of Total Number of Records along Grade Code Final,,24%,,,,,,,,,,,,,,,,,,
,,Number of Records,,17,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,17%,,,,,,,,,,,,,,,,,
,,Number of Records,,,12,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,30%,,,,,,,,,,,,,,,,,,,
,,Number of Records,21,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
,,Number of Records,,,,,7,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
,,Number of Records,,,,,,5,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,3%,,,,,,,,,,,,,,,,
,,Number of Records,,,,2,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,4%,,,,,,,,,,,,
,,Number of Records,,,,,,,,3,,,,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
,,Number of Records,,,,,,,,,,1,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Global Arts Studies Program 130A,A,% of Total Number of Records along Grade Code Final,,100%,,,,,,,,,,,,,,,,,,
,,Number of Records,,1,,,,,,,,,,,,,,,,,,
Global Arts Studies Program 130C,A+,% of Total Number of Records along Grade Code Final,60%,,,,,,,,,,,,,,,,,,,
,,Number of Records,3,,,,,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,20%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,20%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
Global Arts Studies Program 131,A,% of Total Number of Records along Grade Code Final,,6%,,,,,,,,,,,,,,,,,,
,,Number of Records,,1,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,13%,,,,,,,,,,,,,,,,,
,,Number of Records,,,2,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
,,Number of Records,,,,,2,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,6%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,19%,,,,,,,,,,,,,,,,
,,Number of Records,,,,3,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,6%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,13%,,,,,,,,,,,
,,Number of Records,,,,,,,,,2,,,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,13%,,,,,,,,,,
,,Number of Records,,,,,,,,,,2,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,13%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
Global Arts Studies Program 131C,A,% of Total Number of Records along Grade Code Final,,48%,,,,,,,,,,,,,,,,,,
,,Number of Records,,13,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,7%,,,,,,,,,,,,,,,,,
,,Number of Records,,,2,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,15%,,,,,,,,,,,,,,,
,,Number of Records,,,,,4,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,4%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,15%,,,,,,,,,,,,,,,,
,,Number of Records,,,,4,,,,,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,4%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,4%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Global Arts Studies Program 135,A,% of Total Number of Records along Grade Code Final,,12%,,,,,,,,,,,,,,,,,,
,,Number of Records,,8,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,13%,,,,,,,,,,,,,,,,,
,,Number of Records,,,9,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
,,Number of Records,2,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,25%,,,,,,,,,,,,,,,
,,Number of Records,,,,,17,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,9%,,,,,,,,,,,,,,
,,Number of Records,,,,,,6,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,4%,,,,,,,,,,,,,,,,
,,Number of Records,,,,3,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,19%,,,,,,,,,,,,
,,Number of Records,,,,,,,,13,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
,,Number of Records,,,,,,,3,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,6%,,,,,,,
,,Number of Records,,,,,,,,,,,,,4,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Global Arts Studies Program 141,A,% of Total Number of Records along Grade Code Final,,3%,,,,,,,,,,,,,,,,,,
,,Number of Records,,2,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,12%,,,,,,,,,,,,,,,,,
,,Number of Records,,,8,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,22%,,,,,,,,,,,,,,,
,,Number of Records,,,,,14,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,15%,,,,,,,,,,,,,,
,,Number of Records,,,,,,10,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,12%,,,,,,,,,,,,,,,,
,,Number of Records,,,,8,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,14%,,,,,,,,,,,,
,,Number of Records,,,,,,,,9,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,14%,,,,,,,,,,,,,
,,Number of Records,,,,,,,9,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,3%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Global Arts Studies Program 141A,A,% of Total Number of Records along Grade Code Final,,43%,,,,,,,,,,,,,,,,,,
,,Number of Records,,15,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,6%,,,,,,,,,,,,,,,,,
,,Number of Records,,,2,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,49%,,,,,,,,,,,,,,,,,,,
,,Number of Records,17,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,3%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
Global Arts Studies Program 144A,A,% of Total Number of Records along Grade Code Final,,44%,,,,,,,,,,,,,,,,,,
,,Number of Records,,31,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,25%,,,,,,,,,,,,,,,,,
,,Number of Records,,,18,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,7%,,,,,,,,,,,,,,,,,,,
,,Number of Records,5,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,11%,,,,,,,,,,,,,,,
,,Number of Records,,,,,8,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
,,Number of Records,,,,,,5,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,3%,,,,,,,,,,,,,,,,
,,Number of Records,,,,2,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
,,Number of Records,,,,,,,,2,,,,,,,,,,,,
Global Arts Studies Program 151,A,% of Total Number of Records along Grade Code Final,,9%,,,,,,,,,,,,,,,,,,
,,Number of Records,,8,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,21%,,,,,,,,,,,,,,,,,
,,Number of Records,,,18,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,9%,,,,,,,,,,,,,,,,,,,
,,Number of Records,8,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,19%,,,,,,,,,,,,,,,
,,Number of Records,,,,,16,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,5%,,,,,,,,,,,,,,
,,Number of Records,,,,,,4,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,15%,,,,,,,,,,,,,,,,
,,Number of Records,,,,13,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,1%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,7%,,,,,,,,,,,
,,Number of Records,,,,,,,,,6,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,5%,,,,,,,,,,,,,
,,Number of Records,,,,,,,4,,,,,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,2,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
,,Number of Records,,,,,,,,,,,,,3,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Global Arts Studies Program 152,A,% of Total Number of Records along Grade Code Final,,13%,,,,,,,,,,,,,,,,,,
,,Number of Records,,6,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,20%,,,,,,,,,,,,,,,,,
,,Number of Records,,,9,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,13%,,,,,,,,,,,,,,,
,,Number of Records,,,,,6,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
,,Number of Records,,,,,,3,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,35%,,,,,,,,,,,,,,,,
,,Number of Records,,,,16,,,,,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
,,Number of Records,,,,,,,2,,,,,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,1,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,4%,,,,,,,
,,Number of Records,,,,,,,,,,,,,2,,,,,,,
Global Arts Studies Program 153,A,% of Total Number of Records along Grade Code Final,,31%,,,,,,,,,,,,,,,,,,
,,Number of Records,,30,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,34%,,,,,,,,,,,,,,,,,
,,Number of Records,,,33,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,6%,,,,,,,,,,,,,,,,,,,
,,Number of Records,6,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,6%,,,,,,,,,,,,,,,
,,Number of Records,,,,,6,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,4%,,,,,,,,,,,,,,
,,Number of Records,,,,,,4,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,14%,,,,,,,,,,,,,,,,
,,Number of Records,,,,14,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,1%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,1%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Global Arts Studies Program 155,A,% of Total Number of Records along Grade Code Final,,14%,,,,,,,,,,,,,,,,,,
,,Number of Records,,2,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,50%,,,,,,,,,,,,,,,,,
,,Number of Records,,,7,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,14%,,,,,,,,,,,,,,,
,,Number of Records,,,,,2,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,14%,,,,,,,,,,,,,,,,
,,Number of Records,,,,2,,,,,,,,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,7%,,,,,,,,,,
,,Number of Records,,,,,,,,,,1,,,,,,,,,,
Global Arts Studies Program 156A,A,% of Total Number of Records along Grade Code Final,,33%,,,,,,,,,,,,,,,,,,
,,Number of Records,,6,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,17%,,,,,,,,,,,,,,,,,
,,Number of Records,,,3,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,6%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,6%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,6%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,22%,,,,,,,,,,,,,,,,
,,Number of Records,,,,4,,,,,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,6%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,6%,,
,,Number of Records,,,,,,,,,,,,,,,,,,1,,
Global Arts Studies Program 156D,A,% of Total Number of Records along Grade Code Final,,8%,,,,,,,,,,,,,,,,,,
,,Number of Records,,3,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,11%,,,,,,,,,,,,,,,,,
,,Number of Records,,,4,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,19%,,,,,,,,,,,,,,,
,,Number of Records,,,,,7,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,19%,,,,,,,,,,,,,,
,,Number of Records,,,,,,7,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,8%,,,,,,,,,,,,,,,,
,,Number of Records,,,,3,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,17%,,,,,,,,,,,,
,,Number of Records,,,,,,,,6,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,3%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,3%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
